Республика Адыгея,,
,Архангельское областное отделение Всероссийской общественной организации ветеранов &#8220;Боевое Братство&#8221;,Проведение полевого краеведческого сбора для воспитанников детских домов и интернатов &#8220;&#8221;Мы снова вместе&#8221; № заявки: 141,293.600
,Северодвинская городская общественная организация инвалидов с потерей слуха,Финансовая поддержка строительства  производственных мастерских и создание новых рабочих мест  для молодежи с ограниченными возможностями г. Северодвинска № заявки: 216,450 тыс.
,Устьянская районная общественная организация ветеранов (пенсионеров) войны и труда,Оказание социальной помощи ветеранам и пенсионерам  войны и труда - &#8220;Время помогать!&#8221; № заявки: 524,708.655
,"Архангельская  городская общественная организация родителей, детей и подростков с нарушениями опорно-двигательного аппарата &#8220;Благодея&#8221;","&#8220;Изба добра&#8221; - проведение оздоровительных мероприятий для детей, подростков и молодежи с ограниченными возможностями здоровья № заявки: 663",934.800
,Северодвинская городская общественная организация -  Ассоциация  общественных объединений  инвалидов &#8220;Поможем детям&#8221;,Мастерские посильного труда для людей с тяжелой формой инвалидности № заявки: 667,200 тыс.
,Архангельское региональное отделение Общероссийской общественной организации инвалидов &#8220;Всероссийского общества глухих&#8221;,Центр переводческих услуг для инвалидов по слуху Архангельской области № заявки: 505,316.504
Астраханская область,,
,Организация,Проект,"Сумма, руб."
,Астраханская региональная общественная организация &#8220;Общество ветеранов сил специального назначения внутренних войск Министерства внутренних дел и правоохранительных органов Российской Федерации&#8221;,Оказание помощи ветеранам -  инвалидам &#8220;Надежность. Мужество и честь&#8221; № заявки: 165,221 тыс.
,Региональное Отделение Общероссийской общественной организации &#8220;Союз пенсионеров России&#8221; по Астраханской области,Оказание поддержки и социального обслуживания малоимущим и социально незащищенным категориям граждан № заявки: 179,717.800
Белгородская область,,
,Организация,Проект,"Сумма, руб."
,Белгородская региональная организация Общероссийской общественной организации &#8220;Российский Союз Молодежи&#8221;,Социальная адаптация молодых инвалидов &#8220;Равные возможности&#8221; № заявки: 354,121 тыс.
Брянская область,,
,Организация,Проект,"Сумма, руб."
,Брянская региональная общественная организация - Клуб &#8220;Деловых женщин&#8221;,"&#8220;Создание службы адаптации, реабилитации и поддержки социально незащищенных категорий граждан путем их активного вовлечения в социально-экономическую жизнь региона&#8221; № заявки: 47",
,Брянское областное отделение Общероссийской общественной организации &#8220;Российская общественная организация инвалидов войн и военных конфликтов&#8221;,"&#8220;Развитие системы реабилитации ветеранов войн, инвалидов вследствие боевых действий, военнослужащих и членов их семей в Брянской области&#8221; № заявки: 71",333 тыс.
,Брянская региональная организация Общероссийской общественной организации  инвалидов войны в Афганистане,"&#8220;Совершенствование системы поддержки и социальной интеграции ветеранов войн,  инвалидов боевых действий и членов их семей в Брянском регионе&#8221; № заявки: 73",633 тыс.
,Общественное региональное движение &#8220;Женщины Брянщины&#8221;,"Создание регионального Общественного Центра &#8220;Преодоление&#8221; по поддержке женщин, оказавшихся в кризисной ситуации, как социально незащищенной категории граждан. № заявки: 337",600 тыс.
Владимирская область,,
,Организация,Проект,"Сумма, руб."
,Владимирское региональное отделение Общероссийской общественной организации &#8220;Союз пенсионеров России&#8221;,&#8220;У Победы - женское лицо&#8221; Оказание помощи женщинам ветеранам - ВОВ&#8221; № заявки: 117,490 тыс.
,Владимирская областная общественная организация Всероссийского общества инвалидов,Создание новых технологий по оказанию помощи инвалидам &#8220;Быть услышанным&#8221; № заявки: 193,859.900
,Владимирское областное отделение Общероссийского общественного фонда  &#8220;Российский детский фонд&#8221;,Поддержка сельских многодетных  семей &#8220;Дети сельской глубинки&#8221; № заявки: 203,
,Муромская городская общественная организация инвалидов с нарушением функций опорно-двигательного аппарата &#8220;Феникс&#8221;,Социальная реабилитация инвалидов с использованием компьютерных технологий &#8220;Окна в мир&#8221; № заявки: 530,656.385
,Некоммерческий благотворительный фонд &#8220;Надежда&#8221;,"Поддержка молодых семей и одиноких мам из числа выпускников интернатных учреждений в период кризиса (во время декретного отпуска и до 1,5 лет ребенка) № заявки: 338",
,Владимирское региональное отделение Общероссийской общественной организации &#8220;Российский  Союз ветеранов Афганистана&#8221;,"Социальная адаптация ветеранов, инвалидов военной службы и членов их семей на территории Владимирской области № заявки: 525",500 тыс.
,Муниципальный фонд &#8220;Фонд развития города Коврова&#8221;,"Проект повышения компьютерной грамотности инвалидов, малоимущих и социально незащищенных граждан города Коврова № заявки: 298",986.500
,"Владимирское региональное отделение Общероссийской общественной организации &#8220;Российское историко-просветительское, благотворительное и правозащитное общество &#8220;Мемориал&#8221; (Российский Мемориал)","Создание информационного центра  правовой помощи гражданам, пострадавшим от политических репрессий &#8220;Здравствуйте&#8221; № заявки: 323",200.386
Волгоградская область,,
,Организация,Проект,"Сумма, руб."
,Волгоградская городская общественная организация Центр гражданского образования,Социальное обслуживание ветеранов: инновации и проблемы № заявки: 200,550 тыс.
,Волжский городской общественный благотворительный фонд &#8220;Дети в беде&#8221;,"Оказание помощи детям, оставшимся без попечения родителей &#8220;Дороги будущего&#8221; № заявки: 327",864.700
,Волгоградская областная правозащитная общественная организация родителей  военнослужащих &#8220;Материнское право&#8221;,Юридическая помощь родителям погибших солдат № заявки: 449,448.168
,Волгоградская региональная общественная организация содействия детям-инвалидам,"Вовлечение молодых людей с инвалидностью в общественную, социально-экономическую и культурную жизнь и улучшение их положения в обществе - &#8220;Центр активной жизни&#8221; № заявки: 699",
,Волгоградская городская общественная организация &#8220;Клуб пожилых людей&#8221;,"Оказание социальной поддержки одиноко проживающим пожилым людям путем бесплатной  уборки их квартир, покупки продуктов, лекарств, предметов первой необходимости -  &#8220;Помощь пожилым&#8221; № заявки: 507",105.300
Вологодская область,,
,Организация,Проект,"Сумма, руб."
,"Вологодское региональное отделение Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов","&#8220;Защита и реализация социально-экономических прав ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов&#8221; № заявки: 23",734.500
,Автономная некоммерческая организация &#8220;Кризисный центр для женщин&#8221;,"Создание центра психологической помощи женщинам, подвергшимся насилию в семье &#8220;Нет - семейному насилию! № заявки: 336",599.200
Воронежская область,,
,Организация,Проект,"Сумма, руб."
,Региональная общественная ассоциация &#8220;Общественная палата Воронежской области&#8221;,&#8220;Интеграция инвалидов в общество&#8221; Создание базы данных об инвалидах № заявки: 164,896 тыс.
,Фонд поддержки и защиты населения г.Воронежа &#8220;Доброта&#8221;,Оказание социальной помощи малоимущим семьям &#8220;Протянем руку помощи&#8221; № заявки: 173,453.476
,Воронежское областное отделение общероссийского общественного благотворительного фонда &#8220;Российский детский фонд&#8221;,"Привлечение внимания общества к проблемам детей, страдающих онкозаболеваниями, и их родителей; стремление к интегрированию этих детей и их родителей в общество; воспитание чувства сострадания к больным детям и их родителям у жителей области - &#8220;Онкогематология: дети и родители&#8221; № заявки: 626",453.790
,Железнодорожное местное отделение Воронежской региональной организации  Общероссийской общественной организации инвалидов &#8220;Единство&#8221;,"Помощь в преодолении ограниченных возможностей инвалидов, расширение их мира, суженного обществом - &#8220;За пределы ограниченных возможностей&#8221; № заявки: 707",443 тыс.
,"Воронежский региональный благотворительный фонд содействия социальной защите военнослужащих и ветеранов МВД, ФСБ, МО и Прокуратуры &#8220;Экономическая Безопасность&#8221;","Оказание помощи ветеранам, инвалидам силовых ведомств  &#8220;От сердца к сердцу&#8221; № заявки: 106",
,Автономная некоммерческая организация Центр историко-патриотического и интернационального воспитания детей и молодежи &#8220;Танаис&#8221;,"&#8220;Лучики добра&#8221; Оказание материальной помощи детям, воспитанникам детских домов № заявки: 177",453.790
,Воронежская городская общественная организация инвалидов и родителей детей-инвалидов с детским церебральным параличом &#8220;Надежда&#8221;,Создание центров по оказанию медицинской помощи инвалидам - &#8220;Вместе мы сможем больше&#8221; № заявки: 526,482 тыс
Москва,,
,Организация,Проект,"Сумма, руб."
,Автономная некоммерческая организация &#8220;Центр социокультурной анимации &#8220;Одухотворение&#8221;,Социализация и расширение  коммуникативных возможностей инвалидов &#8220;Социокультурная реабилитация молодых инвалидов средствами танцевального искусства&#8221; № заявки: 13,500 тыс.
,Некоммерческая организация Благотворительный фонд &#8220;Социальная адаптация инвалидов и молодежи&#8221;,Социализация и расширение коммуникативных возможностей инвалидов-колясочников &#8220;Доступность социального туризма - путь к активному образу жизни и интеграции инвалидов в общество&#8221; № заявки: 15,
,"Российский общественный благотворительный фонд ветеранов (пенсионеров) войны, труда и Вооруженных Сил","&#8220;Благотворительная материальная и духовная поддержка ветеранов (пенсионеров) войны, труда и ВС&#8221; № заявки: 28",
,Региональная благотворительная общественная организация &#8220;Марфо-Мариинское благотворительное общество&#8221;,"Социальная поддержка и психологическая помощь инвалидам на дому &#8221; Безвозмездное патронажное обслуживание  одиноких, немощных и неимущих москвичей&#8221; № заявки: 38",330.120
,Общероссийский союз общественных объединений &#8220;Союз &#8220;Чернобыль&#8221; России&#8221;,"Социальная поддержка жертв техногенных катастроф &#8221; Социально-правовая и реабилитационная помощь гражданам, пострадавшим вследствие радиационных аварий и катастроф&#8221; № заявки: 39",
,Московская региональная организация &#8220;Столица&#8221; Общероссийской общественной организации  инвалидов войны в Афганистане,&#8220;Адресная поддержка инвалидов и социальное патронажное обслуживание малоимущих и социально незащищенных категорий граждан. Перспектива&#8221; № заявки: 74,
,Некоммерческая организация Православный детский Дом-приют при Храме Вознесения Господня (за Серпуховскими воротами),Создание в детском приюте спортивно-оздоровительной системы &#8220;От зарядки до Олимпиады&#8221; № заявки: 75,720 тыс.
,Межрегиональная общественная организация &#8220;Ассоциация молодежных инвалидных организаций -&#8221;АМИО&#8221; (Москва),"Правовое просвещение, юридическое консультирование инвалидов &#8220;Права и обязанности молодых людей с ограниченными возможностями здоровья&#8221; № заявки: 78",
,Общероссийский союз общественных организаций инвалидов &#8220;Помощь и созидание&#8221; (Москва),&#8220;Меры Общероссийского союза общественных организаций инвалидов &#8220;Помощь и созидание&#8221; по повышению социальной защищенности инвалидов военной службы в 2008 году&#8221; № заявки: 124,600 тыс.
,Международный общественный фонд  &#8220;Российский фонд мира&#8221;,Информационно-правовая поддержка социально незащищенных категорий граждан № заявки: 125,
,Московская областная общественная организация семей погибших в Афганистане,"Социально-психологическая поддержка членов семей в/служащих, погибших при исполнении воинского долга № заявки: 126",640 тыс.
,Региональная общественная организация инвалидов &#8220;Творческое партнерство&#8221;,&#8220;Терапия творчеством в детской онкологии&#8221; № заявки: 132,
,Благотворительный фонд &#8221; Центр помощи беспризорным детям&#8221; Торговой- промышленный палаты РФ,Совершенствование материально-технической базы детских домов и приютов &#8220;Благотворительная программа &#8221; Наш детский дом&#8221; № заявки: 133,
,"Общероссийская общественная организация &#8220;Всероссийское общество специалистов по Медико-социальной экспертизе, реабилитации и реабилитационной индустрии ВРОСЭРРИ",Медико-социальная поддержка и реабилитация инвалидов различных категорий № заявки: 138,
,Общероссийский общественный благотворительный фонд  &#8221; Российский  благотворительный фонд &#8221; Нет алкоголизму и наркомании&#8221;,"&#8220;Создание территориальной модели системы профилактики жестокого обращения с детьми и помощи детям, подвергшимся насилию&#8221; № заявки: 144",
,Международный благотворительный фонд социальной и правовой поддержки ветеранов правоохранительных органов &#8220;Феникс&#8221;,"Социальная и правовая поддержка инвалидов правоохранительных органов  и членов семей сотрудников органов внутренних дел Российской Федерации, погибших при выполнении конституционного воинского долга № заявки: 146",
,Региональная общественная организация  &#8220;Ветераны военной контрразведки&#8221; (Москва),"Оказание помощи инвалидам, ветеранам военной контрразведки &#8220;Никто не забыт, ничто не забыто&#8230;&#8221; № заявки: 151",
,Фонд развития инфраструктуры воздушного транспорта &#8220;Партнер гражданской авиации&#8221;,Программа социальной помощи нуждающимся лицам из числа бывших работников гражданской авиации (ГА) и членов их семей. № заявки: 212,700 тыс.
,Международная общественная организация &#8220;Федерация мира и согласия&#8221;,"&#8220;Культурно-образовательный проект &#8220;Детство мира, добра и согласия&#8221; № заявки: 221",
,Некоммерческая организация &#8220;Благотворительный фонд по содействию социальной реабилитации детей и их семей &#8220;Отрадное&#8221;,"Социальная реабилитация детей, оказавшихся в трудной жизненной ситуации &#8220;Новое время - новые технологии&#8221; № заявки: 229",
,Московский благотворительный фонд &#8220;Будь здоров&#8221;,"Медицинская реабилитация больных  детским церебральным параличом, последствиями черепно-мозговых травм и врожденных аномалий центральной нервной системы. № заявки: 233",
,Общественная и религиозная организация(объединение).Общественная организация ветеранов органов внутренних дел и внутренних войск России,"Социальная реабилитация  инвалидов, пенсионеров и ветеранов ОВД и ВВ по адаптации к гражданской жизни № заявки: 246",
,Некоммерческая организация благотворительный фонд помощи детям-сиротам &#8220;Здесь и сейчас&#8221;,Содействие семейному устройству детей-сирот и их успешной интеграции в общество &#8220;Вверх по социальной лестнице&#8221; № заявки: 247,
,Региональная общественная организация инвалидов &#8220;Диалог - Социальное партнерство&#8221; (Москва),"&#8220;Повышение качества жизни семей, имеющих инвалидов, путем реабилитации средствами социального туризма в Год Семьи&#8221; № заявки: 253",
,Общественная организация &#8220;Гильдия кинорежиссеров России &#8220;,Благотворительная акция &#8220;Кино на защите прав инвалидов&#8221; № заявки: 267,
,Региональная общественная организация инвалидов &#8220;Детский орден милосердия&#8221;,Формирование устоев и ценностей в неблагополучных семьях - &#8220;Бабушкины университеты&#8221; № заявки: 276,871.400
,Межрегиональное общественное движение в поддержку общественно полезных инициатив и благотворительности &#8220;Образ будущего&#8221;,Создание условий для социальной адаптации многодетных семей в сельской местности &#8220;Детская социальная деревня&#8221; № заявки: 280,497.650
,Региональная общественная организация &#8220;Московское объединение детей-инвалидов и их семей &#8220;Пересвет&#8221;,&#8220;Создание службы социального патронажа детей-инвалидов&#8221; № заявки: 292,500 тыс.
,Общероссийская общественная организация инвалидов &#8220;Всероссийское ордена Трудового Красного Знамени общество слепых&#8221;,Реабилитация инвалидов по зрению в культурно-оздоровительном комплексе ВОС № заявки: 306,
,Благотворительный фонд содействия реализации программ Лиги здоровья нации,Всероссийская благотворительная акция &#8220;Прикоснись к сердцу ребенка&#8221; № заявки: 348,
,Некоммерческое партнерство &#8220;Национальная инициатива - год благотворительности&#8221;,Информационный центр &#8220;Благотворительность в России&#8221; № заявки: 351,
,Общероссийский профессиональный союз военнослужащих,Поддержка и социальное обслуживание малоимущих и социально незащищенных категорий граждан № заявки: 441,900 тыс.
,Региональный благотворительный общественный фонд &#8220;Московский фонд мира&#8221;,Создание центра по оказанию помощи детям-сиротам - &#8220;Спасение&#8221; № заявки: 470,
,Общероссийская общественная организация &#8220;Российская академия юридических наук&#8221; (РАЮН)&#8221;,"Социальная и правовая адаптации  выпускников  специализированных  школ, детских  домов и интернатов № заявки: 471",
,Общероссийская общественная организация инвалидов войны в Афганистане,Социальная поддержка инвалидов и участников боевых действий № заявки: 473,
,Региональная благотворительная общественная организация помощи детям - сиротам &#8220;Солнечный круг&#8221;,&#8220;Социально-трудовая адаптация воспитанников и выпускников детских домов и школ-интернатов&#8221; № заявки: 477,
,Благотворительный фонд &#8220;Татьяна&#8221;,Продуктовые наборы для больных сахарным диабетом № заявки: 494,810 тыс.
,Некоммерческая организация &#8220;БлаГор-Клуб&#8221;,"Помощь детям-сиротам, ветеранам войны и труда, немощным старикам, семьям, потерявшим кормильца -&#8221;Ни дня без добра!&#8221; № заявки: 500",
,Региональная общественная организация инвалидов &#8220;Перспектива&#8221;,Апробация и тиражирование  новых технологий подготовки людей с инвалидностью к трудоустройству и развитие индивидуального сопровождения в процессе их дальнейшего поиска работы № заявки: 514,
,Региональная общественная организация содействия защите прав детей &#8220;Право ребенка&#8221;,"Содействие в создании в регионах России механизмов предотвращения социального сиротства и уменьшения числа детей, живущих в интернатных учреждениях, путем преобразования сиротских учреждений в  Центры профилактики сиротства, семейного устройства детей, оставшихся без родителей, и сопровождения семей, принимающих детей. № заявки: 521",900 тыс.
,Некоммерческая организация Фонд развития Экотуризма &#8220;Дерсу Узала&#8221;,"Новые подходы к организации эколого-психологических образовательных программ для детей из детских домов, школ интернатов и патронажных семей - еще один шаг к социальной адаптации. № заявки: 523",900 тыс.
,Некоммерческая организация  &#8220;Благотворительный фонд  &#8220;Даунсайт Ап&#8221;,"Семейно-центрированная модель психолого-педагогического сопровождения семей, воспитывающих детей с синдромом Дауна в возрасте от рождения до 3-х лет № заявки: 540",
,Международная общественная организация &#8220;Международная Лига защиты человеческого достоинства и безопасности&#8221;,Адресная помощь и социальная поддержка ветеранов военной службы и силовых структур № заявки: 543,
,Благотворительное учреждение  &#8220;Центр социальной реабилитации &#8220;Турмалин&#8221;,"Социальная реабилитация инвалидов, имеющих нарушение интеллектуального и психического развития № заявки: 557",
,Российская общественная организация инвалидов силовых структур,&#8220;Помощь и поддержка инвалидов военной службы в 2008 году&#8221; № заявки: 559,800 тыс.
,Межрегиональный благотворительный общественный фонд помощи нуждающимся &#8220;Десница&#8221;,"Продуктовая поддержка малоимущих многодетных семей, пенсионеров, инвалидов  и других социально незащищенных жителей г. Москвы № заявки: 563",
,Местная общественная организация инвалидов с детства м/р &#8220;Головинский&#8221; САО г.Москвы &#8220;Северное сияние&#8221;,"Организация выездных концертных бригад на социальные объекты, в семьи, имеющие тяжело больных детей, к одиноким пенсионерам и инвалидам , выдача им подарков и призов, проведение занятий для инвалидов с детства по прикладному творчеству , обучающих семинаров по благотворительности - Детское движение &#8220;Дорогой добрых дел&#8221; - 3-й этап &#8220;Параллели и меридианы милосердия&#8221; № заявки: 564",
,Общероссийская общественная организация содействия офицерам &#8220;Офицеры России&#8221;,"Создание системы информации, обучения, индивидуального подбора технических средств реабилитации для инвалидов, пострадавших при прохождении военной службы № заявки: 568",754.830
,Региональная благотворительная общественная организация &#8220;Центр лечебной педагогики&#8221;,"Оказание комплексной помощи детям с нарушениями развития и их семьям, расширение возможностей социализации таких детей в обществе сверстников, обучение специалистов  методам работы с семьями, воспитывающими детей с нарушениями развития № заявки: 574",
,Региональная общественная организация инвалидов Органов внутренних дел и Внутренних войск &#8220;Монолит&#8221;,Международный фестиваль спорта среди инвалидов &#8220;Сильные духом&#8221; № заявки: 576,800 тыс.
,Общероссийская общественная организация ветеранов войны и военной службы,Программа &#8220;Поддержка и социальное обслуживание малоимущих и социально незащищенных граждан&#8221; № заявки: 583,
,Некоммерческая организация Благотворительный фонд &#8220;Защита детей от насилия&#8221;,"Финансирование проведения медико-психологической диагностики и комплексной терапии, а также оплата необходимых медикаментов, расходных материалов и принадлежностей для занятий с детьми и подростками, которые пострадали от жестокого обращения и насилия - &#8220;Возвратим улыбку детям&#8221; № заявки: 602",
,Московская благотворительная общественная организация членов семей умерших участников ликвидации аварии на Чернобыльской АЭС &#8220;Вдовы Чернобыля&#8221;,"Оплата стоимости ритуальных услуг, материальная помощь семьям умерших ветеранов Чернобыльской катастрофы - &#8220;Достойная память героев&#8221; № заявки: 609",
,Общественная организация инвалидов Чернобыля Северного административного округа г.Москвы Московской региональной организации Общероссийской общественной организации инвалидов Союз &#8220;Чернобыль&#8221; России,"Улучшение качества жизни инвалидов, потерявших здоровье в результате общественно значимых задач на благо России - &#8220;Инвалидам-героям - достойное качество жизни&#8221; № заявки: 611",600 тыс.
,Некоммерческое научно исследовательское  учреждение  &#8220;Институт детства Российского детского фонда&#8221;,Инициативный гражданский проект &#8220;Становлению личности - равные возможности&#8221; № заявки: 617,
,Благотворительный фонд &#8220;Миротворец&#8221;,Благотворительный проект социальной поддержки пенсионеров &#8220;От сердца к сердцу&#8221; № заявки: 621,
,Ассоциация ветеранов  боевых действий органов внутренних дел и внутренних войск России,"Восстановление здоровья, социальная реабилитация и материальная поддержка ветеранов, инвалидов боевых действий органов внутренних дел и внутренних войск России и семей погибших - &#8220;Честь-Достоинство-Долг&#8221; № заявки: 623",
,Некоммерческое партнерство &#8220;Национальный конгресс матерей&#8221;(Москва),&#8220;Мы на помощь придем&#8221; (Объединение добровольческих усилий для заботы и поддержки семьи) № заявки: 625,550 тыс.
,Некоммерческая организация &#8220;Фонд развития экономических и гуманитарных связей Москва-Крым&#8221;,Поддержка деятельности Российской общины Севастополя в области защиты прав и помощи российским соотечественникам № заявки: 628,
,&#8220;Межрегиональный благотворительный фонд  помощи семьям погибших офицеров Московского Военного округа &#8220;Изменим жизнь к лучшему&#8221;,Оказание материальной помощи семьям погибших офицеров - &#8220;Изменим жизнь к лучшему&#8221; № заявки: 631,
,Некоммерческая организация &#8220;Фонд содействия общественным исследованиям &#8220;РУССО-БАЛТ&#8221;,"Помощь социально-незащищённым категориям российских граждан (пенсионеры, инвалиды) проживающих в Прибалтике (Латвия, Литва, Эстония) № заявки: 632",
,Региональная общественная организация содействия в укреплении семьи и брака &#8220;Народный клуб &#8220;Семья&#8221;,&#8220;Третья церемония пожалования ордена Святых благоверных князей Петра и Февронии Муромских чудотворцев&#8221; № заявки: 634,
,Региональная общественная организация инвалидов &#8220;Центр содействия реадаптации инвалидов&#8221;,Жилая среда для инвалидов и лиц с ограниченными физическими возможностями № заявки: 641,626.190
,Благотворительный фонд &#8220;Благое дело&#8221;,Программа создания развивающих библиотек в детских домах &#8220;Книга - шаг в будущее&#8221; № заявки: 643,
,Автономная некоммерческая организация &#8220;Общедоступный Православный Университет основанный протоиереем А. Менем&#8221;,"Помощь детям-сиротам в их личностном и гражданском становлении, создание образовательного ресурса для приемных и патронатных родителей - &#8220;Профилактика социального сиротства&#8221; № заявки: 646",
,Благотворительный фонд &#8220;Милосердие&#8221;,&#8220;Найди себя&#8221;-социальный проект в области поддержки малоимущих и социально незащищенных граждан № заявки: 657,
